2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:47:57.675667Z [info     ] 2024-02-14 23:47:57,659 | INFO     | tap-postgres.information_schema-column_privileges | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:59.893139Z [info     ] 2024-02-14 23:47:59,892 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 2.2329418659210205, "tags": {"stream": "information_schema-column_privileges", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:59.893982Z [info     ] 2024-02-14 23:47:59,892 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9435, "tags": {"stream": "information_schema-column_privileges", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:59.894818Z [info     ] 2024-02-14 23:47:59,893 | INFO     | tap-postgres.information_schema-column_udt_usage | Beginning full_table sync of 'information_schema-column_udt_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:59.895539Z [info     ] 2024-02-14 23:47:59,893 | INFO     | tap-postgres.information_schema-column_udt_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:00.640278Z [info     ] 2024-02-14 23:48:00,639 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.7452492713928223, "tags": {"stream": "information_schema-column_udt_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:00.641175Z [info     ] 2024-02-14 23:48:00,640 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 1929, "tags": {"stream": "information_schema-column_udt_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:00.642173Z [info     ] 2024-02-14 23:48:00,641 | INFO     | tap-postgres.information_schema-columns | Beginning full_table sync of 'information_schema-columns'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:00.643200Z [info     ] 2024-02-14 23:48:00,642 | INFO     | tap-postgres.information_schema-columns | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.340084Z [info     ] 2024-02-14 23:48:02,339 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 1.6951935291290283, "tags": {"stream": "information_schema-columns", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.341204Z [info     ] 2024-02-14 23:48:02,339 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 1929, "tags": {"stream": "information_schema-columns", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.341862Z [info     ] 2024-02-14 23:48:02,340 | INFO     | tap-postgres.information_schema-constraint_column_usage | Beginning full_table sync of 'information_schema-constraint_column_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:48:02.342455Z [info     ] 2024-02-14 23:48:02,340 | INFO     | tap-postgres.information_schema-constraint_column_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
